config,mae_diff_vs_reference,ci_lo_vs_reference,ci_hi_vs_reference,distinguishable_vs_reference,mae_diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,distinguishable_vs_best
3a_r2p1d_f16_p4,-0.0027853249570028993,-0.12708991393505262,0.12055788350086594,False,0.0019480190710252643,-0.1465082144681229,0.14597209220578541,False
3a_r2p1d_f32_p4,0.036100741560419536,-0.11722262766366785,0.18500556001088117,False,0.0408340855884477,-0.10654208493960932,0.18533989261068548,False
3a_r2p1d_f8_p4,0.3187342429403781,0.16425815244717998,0.4720220246908713,True,0.3234675869684063,0.15944950468575633,0.4876674719312363,True
3a_r2p1d_f32_p2,0.0,0.0,0.0,False,0.0047333440280281636,-0.14233841655211404,0.15005022196818268,False
3a_r2p1d_f64_p4,-0.0047333440280281636,-0.1500502219681828,0.142338416552114,False,0.0,0.0,0.0,False
3a_r2p1d_f64_p2,0.06455706205793721,-0.06996582794114778,0.1990536673328512,False,0.06929040608596537,-0.0782907778710801,0.2131316595742172,False
3a_r2p1d_f16_p2,0.1636516575525766,0.02344688588786864,0.30392259349091133,True,0.16838500158060477,0.014154747172828854,0.3274056582312704,True
3a_r2p1d_f8_p2,0.8117886657535607,0.614445517748338,1.007406544592012,True,0.8165220097815888,0.610734997060772,1.0232516711264166,True
3a_r2p1d_f64_p1,0.08453540234427503,-0.053107162630921925,0.22020782128664923,False,0.0892687463723032,-0.07423426632593612,0.25252008897397477,False
3a_r2p1d_f32_p1,0.121564933071868,-0.03617799478111129,0.27661123686501404,False,0.12629827709989616,-0.041106935133669,0.2945890415433616,False
3a_r2p1d_f16_p1,0.7503203867745754,0.5455671650409323,0.9572859480685341,True,0.7550537308026035,0.5420808632670664,0.9684270259264207,True
3a_r2p1d_f8_p1,1.3020924140255055,1.0606119240459837,1.5445396322707412,True,1.3068257580535336,1.0554818121455292,1.5536702329886545,True
